iteration,N,M_min,M_max,M_ratio,alpha_true,fit_method,alpha_fit,alpha_uncertainty,convergence_status,timestamp,runtime_ms,r_squared
0,500,0.1,100.0,1000.0,2.35,mle,2.2876951615096046,0.05758747830866093,True,2026-02-03T10:10:45.758859,0.10180473327636719,
0,500,0.1,100.0,1000.0,2.35,ls,2.111556763242686,0.05841888954398486,True,2026-02-03T10:10:45.758871,0.5047321319580078,0.9916506539524121
1,500,0.1,100.0,1000.0,2.35,mle,2.3039971556905474,0.05831652565180881,True,2026-02-03T10:10:45.759444,0.0591278076171875,
1,500,0.1,100.0,1000.0,2.35,ls,2.1999810127340083,0.12108585934398836,True,2026-02-03T10:10:45.759452,0.39768218994140625,0.9649229646866928
2,500,0.1,100.0,1000.0,2.35,mle,2.3139508902237513,0.058761670192733435,True,2026-02-03T10:10:45.759929,0.04839897155761719,
2,500,0.1,100.0,1000.0,2.35,ls,2.2490867717838725,0.07242664911263365,True,2026-02-03T10:10:45.759937,0.3685951232910156,0.9897363020524463
3,500,0.1,100.0,1000.0,2.35,mle,2.3769430360087256,0.06157876459320902,True,2026-02-03T10:10:45.760414,0.04839897155761719,
3,500,0.1,100.0,1000.0,2.35,ls,2.327062590665444,0.11773505486061113,True,2026-02-03T10:10:45.760422,0.3695487976074219,0.9750414959837523
4,500,0.1,100.0,1000.0,2.35,mle,2.316137480776592,0.058859457495035655,True,2026-02-03T10:10:45.760890,0.048160552978515625,
4,500,0.1,100.0,1000.0,2.35,ls,2.202427985766712,0.08099164485501151,True,2026-02-03T10:10:45.760898,0.36025047302246094,0.985342599699326
5,500,0.1,100.0,1000.0,2.35,mle,2.2332430534547614,0.05515230600608506,True,2026-02-03T10:10:45.761368,0.04887580871582031,
5,500,0.1,100.0,1000.0,2.35,ls,1.9641332050364357,0.08782773800473113,True,2026-02-03T10:10:45.761376,0.362396240234375,0.9784788415987511
6,500,0.1,100.0,1000.0,2.35,mle,2.248415863322622,0.05583085469156938,True,2026-02-03T10:10:45.762005,0.0476837158203125,
6,500,0.1,100.0,1000.0,2.35,ls,2.0436988668774276,0.10479457908415929,True,2026-02-03T10:10:45.762014,0.5216598510742188,0.9718904541726645
7,500,0.1,100.0,1000.0,2.35,mle,2.3238563407602166,0.0592046554076794,True,2026-02-03T10:10:45.762669,0.05030632019042969,
7,500,0.1,100.0,1000.0,2.35,ls,2.0908788606212054,0.08869790047691577,True,2026-02-03T10:10:45.762681,0.5393028259277344,0.977140367519379
8,500,0.1,100.0,1000.0,2.35,mle,2.386348734571981,0.06199940022047524,True,2026-02-03T10:10:45.763318,0.0514984130859375,
8,500,0.1,100.0,1000.0,2.35,ls,2.2529964172576356,0.054409508158223846,True,2026-02-03T10:10:45.763327,0.5190372467041016,0.9947784735036863
9,500,0.1,100.0,1000.0,2.35,mle,2.222501706735052,0.054671938377381775,True,2026-02-03T10:10:45.763990,0.11324882507324219,
9,500,0.1,100.0,1000.0,2.35,ls,2.201591111672778,0.07875901481760632,True,2026-02-03T10:10:45.763999,0.48732757568359375,0.9873641466603532
10,500,0.1,100.0,1000.0,2.35,mle,2.3673129187782695,0.06114809265803719,True,2026-02-03T10:10:45.764543,0.10704994201660156,
10,500,0.1,100.0,1000.0,2.35,ls,2.0128706707530566,0.11411565857250537,True,2026-02-03T10:10:45.764551,0.3762245178222656,0.9628631922583145
11,500,0.1,100.0,1000.0,2.35,mle,2.272423745736039,0.056904519833013825,True,2026-02-03T10:10:45.765019,0.048160552978515625,
11,500,0.1,100.0,1000.0,2.35,ls,2.0746972093646465,0.07416501825467368,True,2026-02-03T10:10:45.765027,0.3609657287597656,0.9848970819074496
12,500,0.1,100.0,1000.0,2.35,mle,2.2324292143217868,0.05511591001360345,True,2026-02-03T10:10:45.765491,0.04673004150390625,
12,500,0.1,100.0,1000.0,2.35,ls,2.2345852165438127,0.06715132574111635,True,2026-02-03T10:10:45.765499,0.35858154296875,0.9910502477276137
13,500,0.1,100.0,1000.0,2.35,mle,2.275405900419159,0.05703788584483133,True,2026-02-03T10:10:45.766006,0.04696846008300781,
13,500,0.1,100.0,1000.0,2.35,ls,2.1155129218781465,0.1533426447426836,True,2026-02-03T10:10:45.766014,0.4019737243652344,0.9500821695512134
14,500,0.1,100.0,1000.0,2.35,mle,2.3778946443174185,0.061621321810532835,True,2026-02-03T10:10:45.766520,0.04696846008300781,
14,500,0.1,100.0,1000.0,2.35,ls,2.4024909835828567,0.05936231360813831,True,2026-02-03T10:10:45.766528,0.400543212890625,0.9939318721527074
15,500,0.1,100.0,1000.0,2.35,mle,2.3049045082155057,0.05835710369031607,True,2026-02-03T10:10:45.767020,0.047206878662109375,
15,500,0.1,100.0,1000.0,2.35,ls,2.135274196358135,0.07663402059462525,True,2026-02-03T10:10:45.767028,0.38623809814453125,0.9860292918335264
16,500,0.1,100.0,1000.0,2.35,mle,2.360100976474092,0.06082556479319823,True,2026-02-03T10:10:45.767497,0.04792213439941406,
